r,run,hops,n,p,q,grid_type
0,1,23,100,1,1,flat
0,2,17,100,1,1,flat
0,3,12,100,1,1,flat
0,4,15,100,1,1,flat
0,5,33,100,1,1,flat
0,6,22,100,1,1,flat
0,7,23,100,1,1,flat
0,8,14,100,1,1,flat
0,9,23,100,1,1,flat
0,10,13,100,1,1,flat
0,11,27,100,1,1,flat
0,12,15,100,1,1,flat
0,13,25,100,1,1,flat
0,14,16,100,1,1,flat
0,15,15,100,1,1,flat
0,16,16,100,1,1,flat
0,17,20,100,1,1,flat
0,18,15,100,1,1,flat
0,19,25,100,1,1,flat
0,20,16,100,1,1,flat
0,21,14,100,1,1,flat
0,22,21,100,1,1,flat
0,23,21,100,1,1,flat
0,24,37,100,1,1,flat
0,25,12,100,1,1,flat
0,26,16,100,1,1,flat
0,27,15,100,1,1,flat
0,28,18,100,1,1,flat
0,29,28,100,1,1,flat
0,30,12,100,1,1,flat
0,31,16,100,1,1,flat
0,32,11,100,1,1,flat
0,33,18,100,1,1,flat
0,34,14,100,1,1,flat
0,35,21,100,1,1,flat
0,36,31,100,1,1,flat
0,37,32,100,1,1,flat
0,38,16,100,1,1,flat
0,39,20,100,1,1,flat
0,40,20,100,1,1,flat
0,41,29,100,1,1,flat
0,42,8,100,1,1,flat
0,43,11,100,1,1,flat
0,44,39,100,1,1,flat
0,45,20,100,1,1,flat
0,46,21,100,1,1,flat
0,47,15,100,1,1,flat
0,48,25,100,1,1,flat
0,49,25,100,1,1,flat
0,50,35,100,1,1,flat
0,51,14,100,1,1,flat
0,52,38,100,1,1,flat
0,53,44,100,1,1,flat
0,54,25,100,1,1,flat
0,55,29,100,1,1,flat
0,56,24,100,1,1,flat
0,57,20,100,1,1,flat
0,58,5,100,1,1,flat
0,59,9,100,1,1,flat
0,60,23,100,1,1,flat
0,61,32,100,1,1,flat
0,62,20,100,1,1,flat
0,63,23,100,1,1,flat
0,64,14,100,1,1,flat
0,65,41,100,1,1,flat
0,66,32,100,1,1,flat
0,67,19,100,1,1,flat
0,68,35,100,1,1,flat
0,69,19,100,1,1,flat
0,70,24,100,1,1,flat
0,71,15,100,1,1,flat
0,72,19,100,1,1,flat
0,73,17,100,1,1,flat
0,74,17,100,1,1,flat
0,75,17,100,1,1,flat
0,76,26,100,1,1,flat
0,77,20,100,1,1,flat
0,78,21,100,1,1,flat
0,79,5,100,1,1,flat
0,80,20,100,1,1,flat
0,81,24,100,1,1,flat
0,82,29,100,1,1,flat
0,83,26,100,1,1,flat
0,84,7,100,1,1,flat
0,85,40,100,1,1,flat
0,86,33,100,1,1,flat
0,87,32,100,1,1,flat
0,88,29,100,1,1,flat
0,89,35,100,1,1,flat
0,90,25,100,1,1,flat
0,91,35,100,1,1,flat
0,92,14,100,1,1,flat
0,93,20,100,1,1,flat
0,94,36,100,1,1,flat
0,95,24,100,1,1,flat
0,96,17,100,1,1,flat
0,97,10,100,1,1,flat
0,98,13,100,1,1,flat
0,99,16,100,1,1,flat
0,100,5,100,1,1,flat
0,101,10,100,1,1,flat
0,102,32,100,1,1,flat
0,103,15,100,1,1,flat
0,104,18,100,1,1,flat
0,105,7,100,1,1,flat
0,106,21,100,1,1,flat
0,107,10,100,1,1,flat
0,108,28,100,1,1,flat
0,109,44,100,1,1,flat
0,110,29,100,1,1,flat
0,111,16,100,1,1,flat
0,112,13,100,1,1,flat
0,113,23,100,1,1,flat
0,114,33,100,1,1,flat
0,115,26,100,1,1,flat
0,116,14,100,1,1,flat
0,117,33,100,1,1,flat
0,118,26,100,1,1,flat
0,119,9,100,1,1,flat
0,120,15,100,1,1,flat
0,121,31,100,1,1,flat
0,122,32,100,1,1,flat
0,123,21,100,1,1,flat
0,124,25,100,1,1,flat
0,125,48,100,1,1,flat
0,126,25,100,1,1,flat
0,127,18,100,1,1,flat
0,128,13,100,1,1,flat
0,129,34,100,1,1,flat
0,130,15,100,1,1,flat
0,131,33,100,1,1,flat
0,132,26,100,1,1,flat
0,133,16,100,1,1,flat
0,134,44,100,1,1,flat
0,135,41,100,1,1,flat
0,136,14,100,1,1,flat
0,137,10,100,1,1,flat
0,138,20,100,1,1,flat
0,139,25,100,1,1,flat
0,140,23,100,1,1,flat
0,141,21,100,1,1,flat
0,142,27,100,1,1,flat
0,143,21,100,1,1,flat
0,144,25,100,1,1,flat
0,145,21,100,1,1,flat
0,146,9,100,1,1,flat
0,147,32,100,1,1,flat
0,148,18,100,1,1,flat
0,149,27,100,1,1,flat
0,150,36,100,1,1,flat
0,151,23,100,1,1,flat
0,152,7,100,1,1,flat
0,153,18,100,1,1,flat
0,154,21,100,1,1,flat
0,155,40,100,1,1,flat
0,156,9,100,1,1,flat
0,157,27,100,1,1,flat
0,158,19,100,1,1,flat
0,159,10,100,1,1,flat
0,160,18,100,1,1,flat
0,161,28,100,1,1,flat
0,162,20,100,1,1,flat
0,163,30,100,1,1,flat
0,164,33,100,1,1,flat
0,165,30,100,1,1,flat
0,166,28,100,1,1,flat
0,167,20,100,1,1,flat
0,168,19,100,1,1,flat
0,169,41,100,1,1,flat
0,170,21,100,1,1,flat
0,171,41,100,1,1,flat
0,172,22,100,1,1,flat
0,173,17,100,1,1,flat
0,174,14,100,1,1,flat
0,175,25,100,1,1,flat
0,176,28,100,1,1,flat
0,177,15,100,1,1,flat
0,178,25,100,1,1,flat
0,179,17,100,1,1,flat
0,180,20,100,1,1,flat
0,181,22,100,1,1,flat
0,182,23,100,1,1,flat
0,183,15,100,1,1,flat
0,184,17,100,1,1,flat
0,185,23,100,1,1,flat
0,186,16,100,1,1,flat
0,187,29,100,1,1,flat
0,188,15,100,1,1,flat
0,189,21,100,1,1,flat
0,190,11,100,1,1,flat
0,191,18,100,1,1,flat
0,192,14,100,1,1,flat
0,193,9,100,1,1,flat
0,194,24,100,1,1,flat
0,195,41,100,1,1,flat
0,196,13,100,1,1,flat
0,197,17,100,1,1,flat
0,198,25,100,1,1,flat
0,199,12,100,1,1,flat
0,200,18,100,1,1,flat
0,201,31,100,1,1,flat
0,202,34,100,1,1,flat
0,203,21,100,1,1,flat
0,204,20,100,1,1,flat
0,205,10,100,1,1,flat
0,206,27,100,1,1,flat
0,207,23,100,1,1,flat
0,208,19,100,1,1,flat
0,209,26,100,1,1,flat
0,210,25,100,1,1,flat
0,211,33,100,1,1,flat
0,212,25,100,1,1,flat
0,213,18,100,1,1,flat
0,214,19,100,1,1,flat
0,215,27,100,1,1,flat
0,216,26,100,1,1,flat
0,217,18,100,1,1,flat
0,218,29,100,1,1,flat
0,219,15,100,1,1,flat
0,220,14,100,1,1,flat
0,221,23,100,1,1,flat
0,222,18,100,1,1,flat
0,223,23,100,1,1,flat
0,224,21,100,1,1,flat
0,225,4,100,1,1,flat
0,226,35,100,1,1,flat
0,227,11,100,1,1,flat
0,228,13,100,1,1,flat
0,229,21,100,1,1,flat
0,230,29,100,1,1,flat
0,231,31,100,1,1,flat
0,232,11,100,1,1,flat
0,233,9,100,1,1,flat
