n,r,run,hops,grid_type
10,0,0,4,flat
10,0,0,3,flat
10,0,0,5,flat
10,0,0,2,flat
10,0,0,7,flat
10,0,0,6,flat
10,0,0,4,flat
10,0,0,3,flat
10,0,0,9,flat
10,0,0,4,flat
10,0,0,8,flat
10,0,0,5,flat
10,0,0,9,flat
10,0,0,4,flat
10,0,0,3,flat
10,0,0,4,flat
10,0,0,5,flat
10,0,0,4,flat
10,0,0,4,flat
10,0,0,6,flat
10,0,0,8,flat
10,0,0,5,flat
10,0,0,1,flat
10,0,0,7,flat
10,0,0,6,flat
10,0,0,6,flat
10,0,0,3,flat
10,0,0,2,flat
10,0,0,5,flat
10,0,0,2,flat
10,0,0,2,flat
10,0,0,4,flat
10,0,0,6,flat
10,0,0,4,flat
10,0,0,8,flat
10,0,0,4,flat
10,0,0,5,flat
10,0,0,1,flat
10,0,0,2,flat
10,0,0,2,flat
10,0,0,4,flat
10,0,0,5,flat
10,0,0,3,flat
10,0,0,5,flat
10,0,0,2,flat
10,0,0,7,flat
10,0,0,8,flat
10,0,0,4,flat
10,0,0,2,flat
10,0,0,6,flat
10,0,0,5,flat
10,0,0,6,flat
10,0,0,2,flat
10,0,0,6,flat
10,0,0,2,flat
10,0,0,4,flat
10,0,0,3,flat
10,0,0,3,flat
10,0,0,5,flat
10,0,0,2,flat
10,0,0,2,flat
10,0,0,5,flat
10,0,0,5,flat
10,0,0,4,flat
10,0,0,3,flat
10,0,0,3,flat
10,0,0,6,flat
10,0,0,3,flat
10,0,0,4,flat
10,0,0,5,flat
10,0,0,3,flat
10,0,0,7,flat
10,0,0,2,flat
10,0,0,5,flat
10,0,0,5,flat
10,0,0,6,flat
10,0,0,2,flat
10,0,0,5,flat
10,0,0,2,flat
10,0,0,4,flat
10,0,0,8,flat
10,0,0,7,flat
10,0,0,4,flat
10,0,0,4,flat
10,0,0,4,flat
10,0,0,4,flat
10,0,0,2,flat
10,0,0,4,flat
10,0,0,6,flat
10,0,0,8,flat
10,0,0,3,flat
10,0,0,4,flat
10,0,0,5,flat
10,0,0,5,flat
10,0,0,5,flat
10,0,0,5,flat
10,0,0,3,flat
10,0,0,5,flat
10,0,0,5,flat
10,0,0,4,flat
10,0,0,6,flat
10,0,0,2,flat
10,0,0,5,flat
10,0,0,4,flat
10,0,0,6,flat
10,0,0,7,flat
10,0,0,5,flat
10,0,0,9,flat
10,0,0,2,flat
10,0,0,3,flat
10,0,0,4,flat
10,0,0,3,flat
10,0,0,3,flat
10,0,0,5,flat
10,0,0,4,flat
10,0,0,3,flat
10,0,0,2,flat
10,0,0,3,flat
10,0,0,4,flat
10,0,0,7,flat
10,0,0,4,flat
10,0,0,9,flat
10,0,0,5,flat
10,0,0,3,flat
10,0,0,6,flat
10,0,0,3,flat
10,0,0,6,flat
10,0,0,5,flat
10,0,0,2,flat
10,0,0,5,flat
10,0,0,6,flat
10,0,0,7,flat
10,0,0,4,flat
10,0,0,1,flat
10,0,0,3,flat
10,0,0,8,flat
10,0,0,2,flat
10,0,0,6,flat
10,0,0,9,flat
10,0,0,6,flat
10,0,0,5,flat
10,0,0,3,flat
10,0,0,5,flat
10,0,0,4,flat
10,0,0,5,flat
10,0,0,4,flat
10,0,0,6,flat
10,0,0,6,flat
10,0,0,6,flat
10,0,0,5,flat
10,0,0,4,flat
10,0,0,5,flat
10,0,0,4,flat
10,0,0,9,flat
10,0,0,6,flat
10,0,0,7,flat
10,0,0,5,flat
10,0,0,7,flat
10,0,0,5,flat
10,0,0,5,flat
10,0,0,8,flat
10,0,0,4,flat
10,0,0,3,flat
10,0,0,8,flat
10,0,0,5,flat
10,0,0,4,flat
10,0,0,1,flat
10,0,0,4,flat
10,0,0,2,flat
10,0,0,3,flat
10,0,0,1,flat
10,0,0,5,flat
10,0,0,5,flat
10,0,0,5,flat
10,0,0,6,flat
10,0,0,4,flat
10,0,0,7,flat
10,0,0,3,flat
10,0,0,5,flat
10,0,0,8,flat
10,0,0,6,flat
10,0,0,6,flat
10,0,0,6,flat
10,0,0,5,flat
10,0,0,4,flat
10,0,0,6,flat
10,0,0,1,flat
10,0,0,5,flat
10,0,0,5,flat
10,0,0,3,flat
10,0,0,3,flat
10,0,0,6,flat
10,0,0,5,flat
10,0,0,7,flat
10,0,0,3,flat
10,0,0,6,flat
10,0,0,4,flat
10,0,0,7,flat
10,0,0,3,flat
10,0,0,7,flat
10,0,1,6,flat
10,0,1,5,flat
10,0,1,3,flat
10,0,1,3,flat
10,0,1,3,flat
10,0,1,3,flat
10,0,1,2,flat
10,0,1,6,flat
10,0,1,8,flat
10,0,1,9,flat
10,0,1,2,flat
10,0,1,6,flat
10,0,1,5,flat
10,0,1,5,flat
10,0,1,3,flat
10,0,1,4,flat
10,0,1,5,flat
10,0,1,3,flat
10,0,1,2,flat
10,0,1,8,flat
10,0,1,6,flat
10,0,1,5,flat
10,0,1,4,flat
10,0,1,5,flat
10,0,1,6,flat
10,0,1,3,flat
10,0,1,6,flat
10,0,1,4,flat
10,0,1,4,flat
10,0,1,6,flat
10,0,1,6,flat
10,0,1,5,flat
10,0,1,5,flat
10,0,1,3,flat
10,0,1,5,flat
10,0,1,9,flat
10,0,1,1,flat
10,0,1,8,flat
10,0,1,5,flat
10,0,1,7,flat
10,0,1,6,flat
10,0,1,1,flat
10,0,1,8,flat
10,0,1,4,flat
10,0,1,3,flat
10,0,1,5,flat
10,0,1,4,flat
10,0,1,2,flat
10,0,1,5,flat
10,0,1,1,flat
10,0,1,5,flat
10,0,1,4,flat
10,0,1,5,flat
10,0,1,4,flat
10,0,1,3,flat
10,0,1,6,flat
10,0,1,6,flat
10,0,1,5,flat
10,0,1,2,flat
10,0,1,4,flat
10,0,1,4,flat
10,0,1,5,flat
10,0,1,4,flat
10,0,1,3,flat
10,0,1,2,flat
10,0,1,5,flat
10,0,1,6,flat
10,0,1,3,flat
10,0,1,8,flat
10,0,1,4,flat
10,0,1,7,flat
10,0,1,4,flat
10,0,1,3,flat
10,0,1,2,flat
10,0,1,6,flat
