n,r,run,hops,grid_type
10,0,0,5,torus
10,0,0,2,torus
10,0,0,5,torus
10,0,0,4,torus
10,0,0,5,torus
10,0,0,3,torus
10,0,0,4,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,3,torus
10,0,0,5,torus
10,0,0,2,torus
10,0,0,3,torus
10,0,0,2,torus
10,0,0,4,torus
10,0,0,5,torus
10,0,0,6,torus
10,0,0,4,torus
10,0,0,6,torus
10,0,0,7,torus
10,0,0,4,torus
10,0,0,4,torus
10,0,0,5,torus
10,0,0,4,torus
10,0,0,4,torus
10,0,0,4,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,5,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,3,torus
10,0,0,6,torus
10,0,0,4,torus
10,0,0,5,torus
10,0,0,5,torus
10,0,0,5,torus
10,0,0,4,torus
10,0,0,5,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,3,torus
10,0,0,6,torus
10,0,0,1,torus
10,0,0,3,torus
10,0,0,2,torus
10,0,0,4,torus
10,0,0,5,torus
10,0,0,4,torus
10,0,0,5,torus
10,0,0,4,torus
10,0,0,4,torus
10,0,0,7,torus
10,0,0,4,torus
10,0,0,4,torus
10,0,0,6,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,2,torus
10,0,0,5,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,3,torus
10,0,0,3,torus
10,0,0,5,torus
10,0,0,5,torus
10,0,0,3,torus
10,0,0,3,torus
10,0,0,2,torus
10,0,0,3,torus
10,0,0,4,torus
10,0,0,1,torus
10,0,0,8,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,3,torus
10,0,0,4,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,4,torus
10,0,0,5,torus
10,0,0,5,torus
10,0,0,6,torus
10,0,0,4,torus
10,0,0,4,torus
10,0,0,5,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,4,torus
10,0,0,5,torus
10,0,0,2,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,1,torus
10,0,0,2,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,2,torus
10,0,0,4,torus
10,0,0,6,torus
10,0,0,5,torus
10,0,0,4,torus
10,0,0,5,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,4,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,5,torus
10,0,0,5,torus
10,0,0,3,torus
10,0,0,2,torus
10,0,0,4,torus
10,0,0,6,torus
10,0,0,5,torus
10,0,0,5,torus
10,0,0,3,torus
10,0,0,4,torus
10,0,0,6,torus
10,0,0,2,torus
10,0,0,3,torus
10,0,0,1,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,2,torus
10,0,0,4,torus
10,0,0,4,torus
10,0,0,4,torus
10,0,0,7,torus
10,0,0,6,torus
10,0,0,4,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,4,torus
10,0,0,3,torus
10,0,0,6,torus
10,0,0,4,torus
10,0,0,6,torus
10,0,0,3,torus
10,0,0,6,torus
10,0,0,3,torus
10,0,0,2,torus
