r,run,hops,n,p,q,grid_type
0,1,27,100,1,1,torus
0,2,24,100,1,1,torus
0,3,16,100,1,1,torus
0,4,19,100,1,1,torus
0,5,16,100,1,1,torus
0,6,17,100,1,1,torus
0,7,23,100,1,1,torus
0,8,15,100,1,1,torus
0,9,27,100,1,1,torus
0,10,19,100,1,1,torus
0,11,17,100,1,1,torus
0,12,19,100,1,1,torus
0,13,8,100,1,1,torus
0,14,15,100,1,1,torus
0,15,16,100,1,1,torus
0,16,24,100,1,1,torus
0,17,36,100,1,1,torus
0,18,13,100,1,1,torus
0,19,17,100,1,1,torus
0,20,24,100,1,1,torus
0,21,15,100,1,1,torus
0,22,22,100,1,1,torus
0,23,25,100,1,1,torus
0,24,17,100,1,1,torus
0,25,10,100,1,1,torus
0,26,12,100,1,1,torus
0,27,34,100,1,1,torus
0,28,32,100,1,1,torus
0,29,19,100,1,1,torus
0,30,16,100,1,1,torus
0,31,26,100,1,1,torus
0,32,28,100,1,1,torus
0,33,15,100,1,1,torus
0,34,24,100,1,1,torus
0,35,22,100,1,1,torus
0,36,26,100,1,1,torus
0,37,26,100,1,1,torus
0,38,23,100,1,1,torus
0,39,28,100,1,1,torus
0,40,26,100,1,1,torus
0,41,15,100,1,1,torus
0,42,31,100,1,1,torus
0,43,24,100,1,1,torus
0,44,18,100,1,1,torus
0,45,24,100,1,1,torus
0,46,18,100,1,1,torus
0,47,14,100,1,1,torus
0,48,20,100,1,1,torus
0,49,27,100,1,1,torus
0,50,19,100,1,1,torus
0,51,13,100,1,1,torus
0,52,24,100,1,1,torus
0,53,8,100,1,1,torus
0,54,27,100,1,1,torus
0,55,34,100,1,1,torus
0,56,15,100,1,1,torus
0,57,31,100,1,1,torus
0,58,3,100,1,1,torus
0,59,7,100,1,1,torus
0,60,26,100,1,1,torus
0,61,32,100,1,1,torus
0,62,31,100,1,1,torus
0,63,25,100,1,1,torus
0,64,23,100,1,1,torus
0,65,16,100,1,1,torus
0,66,18,100,1,1,torus
0,67,27,100,1,1,torus
0,68,29,100,1,1,torus
0,69,21,100,1,1,torus
0,70,14,100,1,1,torus
0,71,29,100,1,1,torus
0,72,24,100,1,1,torus
0,73,19,100,1,1,torus
0,74,23,100,1,1,torus
0,75,25,100,1,1,torus
0,76,15,100,1,1,torus
0,77,31,100,1,1,torus
0,78,19,100,1,1,torus
0,79,24,100,1,1,torus
0,80,9,100,1,1,torus
0,81,31,100,1,1,torus
0,82,22,100,1,1,torus
0,83,21,100,1,1,torus
0,84,33,100,1,1,torus
0,85,24,100,1,1,torus
0,86,29,100,1,1,torus
0,87,30,100,1,1,torus
0,88,17,100,1,1,torus
0,89,19,100,1,1,torus
0,90,32,100,1,1,torus
0,91,8,100,1,1,torus
0,92,22,100,1,1,torus
0,93,23,100,1,1,torus
0,94,24,100,1,1,torus
0,95,27,100,1,1,torus
0,96,25,100,1,1,torus
0,97,21,100,1,1,torus
0,98,20,100,1,1,torus
0,99,31,100,1,1,torus
0,100,14,100,1,1,torus
0,101,25,100,1,1,torus
0,102,33,100,1,1,torus
0,103,6,100,1,1,torus
0,104,21,100,1,1,torus
0,105,23,100,1,1,torus
0,106,18,100,1,1,torus
0,107,11,100,1,1,torus
0,108,23,100,1,1,torus
0,109,27,100,1,1,torus
0,110,20,100,1,1,torus
0,111,22,100,1,1,torus
0,112,26,100,1,1,torus
0,113,25,100,1,1,torus
0,114,10,100,1,1,torus
0,115,14,100,1,1,torus
0,116,21,100,1,1,torus
0,117,11,100,1,1,torus
0,118,24,100,1,1,torus
0,119,19,100,1,1,torus
0,120,28,100,1,1,torus
0,121,27,100,1,1,torus
0,122,20,100,1,1,torus
0,123,10,100,1,1,torus
0,124,17,100,1,1,torus
0,125,24,100,1,1,torus
0,126,20,100,1,1,torus
0,127,11,100,1,1,torus
0,128,4,100,1,1,torus
0,129,20,100,1,1,torus
0,130,29,100,1,1,torus
0,131,10,100,1,1,torus
0,132,24,100,1,1,torus
0,133,26,100,1,1,torus
0,134,18,100,1,1,torus
0,135,17,100,1,1,torus
0,136,27,100,1,1,torus
0,137,30,100,1,1,torus
0,138,15,100,1,1,torus
0,139,34,100,1,1,torus
0,140,30,100,1,1,torus
0,141,31,100,1,1,torus
0,142,26,100,1,1,torus
0,143,14,100,1,1,torus
0,144,14,100,1,1,torus
0,145,22,100,1,1,torus
0,146,37,100,1,1,torus
0,147,36,100,1,1,torus
0,148,21,100,1,1,torus
0,149,28,100,1,1,torus
0,150,26,100,1,1,torus
0,151,26,100,1,1,torus
0,152,12,100,1,1,torus
0,153,21,100,1,1,torus
0,154,24,100,1,1,torus
0,155,9,100,1,1,torus
0,156,33,100,1,1,torus
0,157,30,100,1,1,torus
0,158,20,100,1,1,torus
0,159,17,100,1,1,torus
0,160,32,100,1,1,torus
0,161,20,100,1,1,torus
0,162,29,100,1,1,torus
0,163,18,100,1,1,torus
0,164,24,100,1,1,torus
0,165,25,100,1,1,torus
0,166,23,100,1,1,torus
0,167,21,100,1,1,torus
0,168,20,100,1,1,torus
0,169,19,100,1,1,torus
0,170,11,100,1,1,torus
0,171,34,100,1,1,torus
0,172,11,100,1,1,torus
0,173,9,100,1,1,torus
0,174,13,100,1,1,torus
0,175,29,100,1,1,torus
0,176,25,100,1,1,torus
0,177,27,100,1,1,torus
0,178,13,100,1,1,torus
0,179,16,100,1,1,torus
0,180,6,100,1,1,torus
0,181,24,100,1,1,torus
0,182,18,100,1,1,torus
0,183,27,100,1,1,torus
0,184,24,100,1,1,torus
0,185,18,100,1,1,torus
0,186,31,100,1,1,torus
0,187,29,100,1,1,torus
0,188,16,100,1,1,torus
0,189,22,100,1,1,torus
0,190,20,100,1,1,torus
0,191,11,100,1,1,torus
0,192,13,100,1,1,torus
0,193,18,100,1,1,torus
0,194,8,100,1,1,torus
0,195,11,100,1,1,torus
0,196,24,100,1,1,torus
0,197,12,100,1,1,torus
0,198,8,100,1,1,torus
0,199,27,100,1,1,torus
0,200,17,100,1,1,torus
0,201,28,100,1,1,torus
0,202,26,100,1,1,torus
0,203,11,100,1,1,torus
0,204,11,100,1,1,torus
0,205,32,100,1,1,torus
0,206,21,100,1,1,torus
0,207,19,100,1,1,torus
0,208,11,100,1,1,torus
0,209,23,100,1,1,torus
0,210,16,100,1,1,torus
0,211,20,100,1,1,torus
0,212,18,100,1,1,torus
0,213,4,100,1,1,torus
0,214,2,100,1,1,torus
0,215,12,100,1,1,torus
0,216,18,100,1,1,torus
0,217,23,100,1,1,torus
0,218,12,100,1,1,torus
0,219,25,100,1,1,torus
0,220,16,100,1,1,torus
0,221,22,100,1,1,torus
0,222,32,100,1,1,torus
0,223,17,100,1,1,torus
0,224,36,100,1,1,torus
0,225,25,100,1,1,torus
0,226,26,100,1,1,torus
0,227,30,100,1,1,torus
0,228,19,100,1,1,torus
0,229,9,100,1,1,torus
0,230,16,100,1,1,torus
0,231,23,100,1,1,torus
0,232,29,100,1,1,torus
0,233,12,100,1,1,torus
0,234,31,100,1,1,torus
0,235,27,100,1,1,torus
0,236,23,100,1,1,torus
0,237,18,100,1,1,torus
0,238,19,100,1,1,torus
0,239,36,100,1,1,torus
0,240,17,100,1,1,torus
0,241,22,100,1,1,torus
0,242,23,100,1,1,torus
0,243,21,100,1,1,torus
0,244,12,100,1,1,torus
0,245,37,100,1,1,torus
0,246,36,100,1,1,torus
0,247,16,100,1,1,torus
0,248,32,100,1,1,torus
0,249,10,100,1,1,torus
0,250,8,100,1,1,torus
0,251,15,100,1,1,torus
0,252,25,100,1,1,torus
0,253,23,100,1,1,torus
0,254,18,100,1,1,torus
0,255,11,100,1,1,torus
0,256,18,100,1,1,torus
0,257,18,100,1,1,torus
0,258,25,100,1,1,torus
0,259,29,100,1,1,torus
0,260,23,100,1,1,torus
0,261,29,100,1,1,torus
0,262,26,100,1,1,torus
0,263,19,100,1,1,torus
0,264,28,100,1,1,torus
0,265,34,100,1,1,torus
0,266,14,100,1,1,torus
0,267,16,100,1,1,torus
0,268,15,100,1,1,torus
0,269,7,100,1,1,torus
0,270,8,100,1,1,torus
0,271,21,100,1,1,torus
0,272,14,100,1,1,torus
0,273,14,100,1,1,torus
0,274,17,100,1,1,torus
0,275,33,100,1,1,torus
0,276,17,100,1,1,torus
0,277,18,100,1,1,torus
0,278,20,100,1,1,torus
0,279,18,100,1,1,torus
0,280,20,100,1,1,torus
0,281,23,100,1,1,torus
0,282,14,100,1,1,torus
0,283,18,100,1,1,torus
0,284,35,100,1,1,torus
0,285,25,100,1,1,torus
0,286,19,100,1,1,torus
0,287,8,100,1,1,torus
0,288,27,100,1,1,torus
0,289,29,100,1,1,torus
0,290,24,100,1,1,torus
0,291,36,100,1,1,torus
0,292,5,100,1,1,torus
0,293,27,100,1,1,torus
0,294,15,100,1,1,torus
0,295,23,100,1,1,torus
0,296,16,100,1,1,torus
0,297,12,100,1,1,torus
0,298,25,100,1,1,torus
0,299,16,100,1,1,torus
0,300,17,100,1,1,torus
0,301,32,100,1,1,torus
0,302,41,100,1,1,torus
0,303,17,100,1,1,torus
0,304,25,100,1,1,torus
0,305,19,100,1,1,torus
0,306,27,100,1,1,torus
0,307,14,100,1,1,torus
0,308,32,100,1,1,torus
0,309,2,100,1,1,torus
0,310,27,100,1,1,torus
0,311,12,100,1,1,torus
0,312,22,100,1,1,torus
0,313,29,100,1,1,torus
0,314,23,100,1,1,torus
0,315,25,100,1,1,torus
0,316,22,100,1,1,torus
0,317,14,100,1,1,torus
0,318,40,100,1,1,torus
0,319,15,100,1,1,torus
0,320,14,100,1,1,torus
0,321,27,100,1,1,torus
0,322,11,100,1,1,torus
0,323,20,100,1,1,torus
0,324,24,100,1,1,torus
0,325,20,100,1,1,torus
0,326,18,100,1,1,torus
0,327,19,100,1,1,torus
0,328,3,100,1,1,torus
0,329,22,100,1,1,torus
0,330,11,100,1,1,torus
0,331,36,100,1,1,torus
0,332,22,100,1,1,torus
0,333,18,100,1,1,torus
0,334,22,100,1,1,torus
0,335,13,100,1,1,torus
0,336,20,100,1,1,torus
0,337,28,100,1,1,torus
0,338,31,100,1,1,torus
0,339,23,100,1,1,torus
0,340,16,100,1,1,torus
0,341,13,100,1,1,torus
0,342,27,100,1,1,torus
0,343,14,100,1,1,torus
0,344,23,100,1,1,torus
0,345,22,100,1,1,torus
0,346,16,100,1,1,torus
0,347,21,100,1,1,torus
0,348,32,100,1,1,torus
0,349,8,100,1,1,torus
0,350,26,100,1,1,torus
0,351,25,100,1,1,torus
0,352,30,100,1,1,torus
0,353,34,100,1,1,torus
0,354,17,100,1,1,torus
0,355,19,100,1,1,torus
0,356,19,100,1,1,torus
0,357,25,100,1,1,torus
0,358,20,100,1,1,torus
0,359,32,100,1,1,torus
0,360,22,100,1,1,torus
0,361,36,100,1,1,torus
0,362,41,100,1,1,torus
0,363,23,100,1,1,torus
0,364,35,100,1,1,torus
0,365,11,100,1,1,torus
0,366,19,100,1,1,torus
0,367,29,100,1,1,torus
0,368,15,100,1,1,torus
0,369,36,100,1,1,torus
0,370,21,100,1,1,torus
0,371,27,100,1,1,torus
0,372,37,100,1,1,torus
0,373,5,100,1,1,torus
0,374,21,100,1,1,torus
0,375,21,100,1,1,torus
0,376,23,100,1,1,torus
0,377,28,100,1,1,torus
0,378,15,100,1,1,torus
0,379,1,100,1,1,torus
0,380,28,100,1,1,torus
0,381,34,100,1,1,torus
0,382,19,100,1,1,torus
0,383,28,100,1,1,torus
0,384,17,100,1,1,torus
0,385,10,100,1,1,torus
0,386,34,100,1,1,torus
0,387,29,100,1,1,torus
0,388,16,100,1,1,torus
0,389,17,100,1,1,torus
0,390,36,100,1,1,torus
0,391,24,100,1,1,torus
0,392,31,100,1,1,torus
0,393,23,100,1,1,torus
0,394,21,100,1,1,torus
