p,run#,n,k,avg_path_length,clustering_coefficient,retry_Logic
0,1,1000,6,83.75075075075075,0.6000000000000113,True
0,2,1000,6,83.75075075075075,0.6000000000000113,True
0,3,1000,6,83.75075075075075,0.6000000000000113,True
0,4,1000,6,83.75075075075075,0.6000000000000113,True
0,5,1000,6,83.75075075075075,0.6000000000000113,True
0,6,1000,6,83.75075075075075,0.6000000000000113,True
0,7,1000,6,83.75075075075075,0.6000000000000113,True
0,8,1000,6,83.75075075075075,0.6000000000000113,True
0,9,1000,6,83.75075075075075,0.6000000000000113,True
0,10,1000,6,83.75075075075075,0.6000000000000113,True
0.0001,11,1000,6,56.316810810810814,0.5988571428571542,True
0.0001,12,1000,6,83.75075075075075,0.6000000000000113,True
0.0001,13,1000,6,83.75075075075075,0.6000000000000113,True
0.0001,14,1000,6,83.75075075075075,0.6000000000000113,True
0.0001,15,1000,6,83.75075075075075,0.6000000000000113,True
0.0001,16,1000,6,65.512,0.5991952380952493,True
0.0001,17,1000,6,64.28854254254254,0.5994285714285827,True
0.0001,18,1000,6,83.75075075075075,0.6000000000000113,True
0.0001,19,1000,6,76.30508508508508,0.5991952380952493,True
0.0001,20,1000,6,83.75075075075075,0.6000000000000113,True
0.0005,21,1000,6,45.52751351351351,0.5971428571428679,True
0.0005,22,1000,6,45.95163563563563,0.5969095238095348,True
0.0005,23,1000,6,57.619771771771774,0.5983904761904875,True
0.0005,24,1000,6,67.92480680680681,0.5983904761904875,True
0.0005,25,1000,6,65.03861861861861,0.5991952380952491,True
0.0005,26,1000,6,58.46981181181181,0.5985190476190589,True
0.0005,27,1000,6,44.50133133133133,0.5979476190476303,True
0.0005,28,1000,6,46.41114514514515,0.5987523809523921,True
0.0005,29,1000,6,68.20671271271272,0.5996619047619159,True
0.0005,30,1000,6,63.66234434434435,0.5996619047619159,True
0.001,31,1000,6,33.34871271271271,0.5957047619047732,True
0.001,32,1000,6,51.19390990990991,0.59684761904763,True
0.001,33,1000,6,34.06648048048048,0.596233333333344,True
0.001,34,1000,6,26.682402402402403,0.5944190476190582,True
0.001,35,1000,6,34.18214014014014,0.5964666666666777,True
0.001,36,1000,6,33.18733733733734,0.5942571428571538,True
0.001,37,1000,6,33.62466866866867,0.5953809523809631,True
0.001,38,1000,6,33.89566966966967,0.596909523809535,True
0.001,39,1000,6,43.44565365365365,0.5974809523809634,True
0.001,40,1000,6,39.41891691691692,0.5942857142857247,True
0.005,41,1000,6,16.61218818818819,0.5801952380952482,True
0.005,42,1000,6,16.798064064064064,0.5841095238095335,True
0.005,43,1000,6,12.872936936936936,0.5783476190476283,True
0.005,44,1000,6,15.293125125125124,0.5814333333333429,True
0.005,45,1000,6,13.963743743743743,0.5779476190476287,True
0.005,46,1000,6,15.750134134134134,0.5808095238095332,True
0.005,47,1000,6,15.328896896896897,0.5848761904762,True
0.005,48,1000,6,16.27492892892893,0.583952380952391,True
0.005,49,1000,6,16.979477477477477,0.5841404761904861,True
0.005,50,1000,6,14.797623623623624,0.5794523809523907,True
0.01,51,1000,6,12.90645045045045,0.5754285714285803,True
0.01,52,1000,6,11.358594594594594,0.5660190476190563,True
0.01,53,1000,6,11.083673673673674,0.5643023809523894,True
0.01,54,1000,6,12.286872872872873,0.5749476190476276,True
0.01,55,1000,6,12.529965965965966,0.5709547619047712,True
0.01,56,1000,6,10.6031991991992,0.5653071428571512,True
0.01,57,1000,6,12.587181181181181,0.5731214285714377,True
0.01,58,1000,6,12.694012012012012,0.5738857142857231,True
0.01,59,1000,6,10.654628628628629,0.5628547619047702,True
0.01,60,1000,6,12.026216216216216,0.5693952380952472,True
0.02,61,1000,6,8.320536536536537,0.5270380952381009,True
0.02,62,1000,6,8.20338938938939,0.5322500000000061,True
0.02,63,1000,6,8.697343343343343,0.5383571428571492,True
0.02,64,1000,6,8.394926926926926,0.5334071428571487,True
0.02,65,1000,6,8.788054054054054,0.5388880952381017,True
0.02,66,1000,6,8.548086086086085,0.535000000000006,True
0.02,67,1000,6,8.502502502502503,0.5357000000000057,True
0.02,68,1000,6,8.389137137137137,0.5360404761904825,True
0.02,69,1000,6,8.717017017017017,0.5381642857142924,True
0.02,70,1000,6,8.42714114114114,0.5338809523809589,True
0.05,71,1000,6,6.407291291291291,0.4632444444444456,True
0.05,72,1000,6,6.2084424424424425,0.4432634920634945,True
0.05,73,1000,6,6.347291291291291,0.4642761904761919,True
0.05,74,1000,6,6.2912632632632635,0.4547642857142873,True
0.05,75,1000,6,6.17331931931932,0.4449777777777791,True
0.05,76,1000,6,6.156114114114114,0.4490428571428582,True
0.05,77,1000,6,6.026928928928929,0.43677380952381095,True
0.05,78,1000,6,6.246486486486487,0.4565563492063509,True
0.05,79,1000,6,6.1913153153153155,0.4526145743145759,True
0.05,80,1000,6,6.163957957957958,0.44647698412698533,True
0.1,81,1000,6,5.11869069069069,0.32743881673881586,True
0.1,82,1000,6,5.1266246246246245,0.3326404761904758,True
0.1,83,1000,6,5.18609009009009,0.3368174603174603,True
0.1,84,1000,6,5.162148148148148,0.32246111111111064,True
0.1,85,1000,6,5.1729129129129126,0.33084761904761867,True
0.1,86,1000,6,5.1493273273273275,0.33739379509379497,True
0.1,87,1000,6,5.132826826826827,0.32997445887445853,True
0.1,88,1000,6,5.187777777777778,0.3385412698412699,True
0.1,89,1000,6,5.282186186186186,0.34663968253968136,True
0.1,90,1000,6,5.220534534534535,0.3378396825396825,True
0.2,91,1000,6,4.499297297297297,0.1721588023088025,True
0.2,92,1000,6,4.475333333333333,0.16480598845598832,True
0.2,93,1000,6,4.523705705705706,0.1783339826839828,True
0.2,94,1000,6,4.496900900900901,0.17245461760461753,True
0.2,95,1000,6,4.482932932932933,0.16952604617604627,True
0.2,96,1000,6,4.492276276276276,0.1693730158730161,True
0.2,97,1000,6,4.4655775775775775,0.16185865800865806,True
0.2,98,1000,6,4.4736536536536535,0.16423715728715715,True
0.2,99,1000,6,4.493475475475475,0.17033253968253942,True
0.2,100,1000,6,4.488572572572573,0.16270036075036093,True
0.5,101,1000,6,4.099435435435436,0.013224642024642018,True
0.5,102,1000,6,4.104866866866867,0.017840886890886892,True
0.5,103,1000,6,4.113434075357923,0.02271610056610056,True
0.5,104,1000,6,4.097119119119119,0.01376897546897546,True
0.5,105,1000,6,4.101445445445446,0.015126695526695528,True
0.5,106,1000,6,4.09973973973974,0.017641919191919195,True
0.5,107,1000,6,4.097239239239239,0.011918831168831169,True
0.5,108,1000,6,4.091867867867868,0.0132591575091575,True
0.5,109,1000,6,4.094894493692089,0.014434848484848477,True
0.5,110,1000,6,4.09963963963964,0.01212308802308802,True
0.7,111,1000,6,4.0713062883429405,0.0060885558885558815,True
0.7,112,1000,6,4.069394043341939,0.004991197691197686,True
0.7,113,1000,6,4.068178483345829,0.005405461205461202,True
0.7,114,1000,6,4.074748094788175,0.00758489843489843,True
0.7,115,1000,6,4.075169169169169,0.005780325230325227,True
0.7,116,1000,6,4.072248810559937,0.00851739371739371,True
0.7,117,1000,6,4.0712997566704985,0.005682323232323226,True
0.7,118,1000,6,4.063993583958288,0.004784260184260182,True
0.7,119,1000,6,4.0670189227303455,0.008400699300699296,True
0.7,120,1000,6,4.068697073183478,0.007441169941169937,True
1,121,1000,6,4.0628645234203145,0.007294663996134578,True
1,122,1000,6,4.057109213421839,0.007888433788433782,True
1,123,1000,6,4.050502007016976,0.007840021090021082,True
1,124,1000,6,4.0663148118057935,0.006553427128427123,True
1,125,1000,6,4.0541041963566045,0.004921117771117767,True
1,126,1000,6,4.0562067729292295,0.0052244366744366695,True
1,127,1000,6,4.051115012815079,0.005124201941848997,True
1,128,1000,6,4.0631332876384665,0.005292812742812739,True
1,129,1000,6,4.065486064862465,0.00562366522366522,True
1,130,1000,6,4.070577591619676,0.00738617493617493,True
